City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Nishihara,JP,79.88,few clouds,26.1842,127.7558,Minshuku Agaihama
2,Miyako,JP,60.94,clear sky,39.6367,141.9525,Hotel Route Inn Miyako
4,Rabaul,PG,78.85,overcast clouds,-4.1967,152.1721,Rabaul Hotel
5,Vaini,TO,75.36,overcast clouds,-21.2,-175.2,Keleti Beach Resort
17,Weyburn,CA,75.18,clear sky,49.6668,-103.8511,Perfect Inns & Suites
19,Vila Franca Do Campo,PT,74.19,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
20,Faanui,PF,78.66,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
22,Hambantota,LK,79.56,overcast clouds,6.1241,81.1185,Bungalow 63
26,Saint-Pierre,RE,71.29,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
27,Kahului,US,84.22,few clouds,20.8947,-156.47,Maui Seaside Hotel
28,Ribeira Grande,PT,72.0,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
32,Rikitea,PF,73.54,broken clouds,-23.1203,-134.9692,People ThankYou
36,Hilo,US,78.8,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
37,Luanda,AO,75.2,few clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
38,Castro,BR,65.32,light rain,-24.7911,-50.0119,CHACARA BAILLY
40,Albany,US,66.31,overcast clouds,42.6001,-73.9662,
44,Kapaa,US,80.58,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
46,Kavaratti,IN,81.59,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
47,Pithoro,PK,83.25,clear sky,25.5167,69.3833,Village Haji Muhammad Yousif Panhwar
50,Carnarvon,AU,62.67,clear sky,-24.8667,113.6333,Hospitality Carnarvon
55,Ponta Delgada,PT,74.5,broken clouds,37.7333,-25.6667,Vila Nova Hotel
60,Ikungi,TZ,70.95,broken clouds,-5.1333,34.7667,HADEE NIGHT PARK LODGE
61,Salinopolis,BR,82.98,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
64,Miri,MY,75.34,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
65,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
69,Arraial Do Cabo,BR,84.16,clear sky,-22.9661,-42.0278,Pousada Porto Praia
72,Georgetown,MY,81.9,few clouds,5.4112,100.3354,Cititel Penang
