City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Stalskoye,RU,2021-10-03 19:58:53,43.1873,46.9672,58.6,72,100,12.33,overcast clouds
1,Nishihara,JP,2021-10-03 19:58:53,26.1842,127.7558,79.88,65,20,16.11,few clouds
2,Miyako,JP,2021-10-03 19:58:54,39.6367,141.9525,60.94,81,2,7.99,clear sky
3,Sarlat-La-Caneda,FR,2021-10-03 19:58:54,44.889,1.2166,56.08,89,100,2.62,overcast clouds
4,Rabaul,PG,2021-10-03 19:52:55,-4.1967,152.1721,78.85,80,93,6.69,overcast clouds
5,Vaini,TO,2021-10-03 19:50:24,-21.2,-175.2,75.36,88,90,8.05,overcast clouds
6,Narsaq,GL,2021-10-03 19:51:08,60.9167,-46.05,39.65,62,0,5.26,clear sky
7,Mataura,NZ,2021-10-03 19:50:35,-46.1927,168.8643,44.47,88,100,7.72,overcast clouds
8,Provideniya,RU,2021-10-03 19:50:50,64.3833,-173.3,30.31,74,75,4.47,broken clouds
9,Hofn,IS,2021-10-03 19:51:21,64.2539,-15.2082,47.17,80,100,20.38,overcast clouds
10,Longyearbyen,SJ,2021-10-03 19:50:45,78.2186,15.6401,37.18,98,100,4.36,overcast clouds
11,Dikson,RU,2021-10-03 19:50:20,73.5069,80.5464,34.9,98,100,23.89,light rain
12,Clyde River,CA,2021-10-03 19:51:52,70.4692,-68.5914,39.43,87,90,0.0,overcast clouds
13,Nikolskoye,RU,2021-10-03 19:48:57,59.7035,30.7861,49.39,87,0,7.85,clear sky
14,Turinskaya Sloboda,RU,2021-10-03 19:58:57,57.6232,64.3858,29.12,87,91,6.73,overcast clouds
15,Novo Aripuana,BR,2021-10-03 19:58:57,-5.1206,-60.3797,87.33,55,100,4.32,overcast clouds
16,Busselton,AU,2021-10-03 19:48:17,-33.65,115.3333,41.09,64,93,4.97,overcast clouds
17,Weyburn,CA,2021-10-03 19:58:58,49.6668,-103.8511,75.18,20,1,11.5,clear sky
18,Burnie,AU,2021-10-03 19:58:59,-41.0667,145.9167,55.92,96,100,8.1,overcast clouds
19,Vila Franca Do Campo,PT,2021-10-03 19:58:59,37.7167,-25.4333,74.19,85,99,3.87,overcast clouds
20,Faanui,PF,2021-10-03 19:51:36,-16.4833,-151.75,78.66,70,52,10.54,broken clouds
21,Ushuaia,AR,2021-10-03 19:46:59,-54.8,-68.3,46.06,76,75,27.63,moderate rain
22,Hambantota,LK,2021-10-03 19:51:07,6.1241,81.1185,79.56,83,88,12.5,overcast clouds
23,Svirstroy,RU,2021-10-03 19:59:00,60.7999,33.7248,42.39,91,3,5.19,clear sky
24,Klaksvik,FO,2021-10-03 19:50:05,62.2266,-6.589,47.32,94,100,29.44,overcast clouds
25,Barrow,US,2021-10-03 19:50:31,71.2906,-156.7887,30.22,80,90,12.66,haze
26,Saint-Pierre,RE,2021-10-03 19:50:18,-21.3393,55.4781,71.29,70,90,2.3,overcast clouds
27,Kahului,US,2021-10-03 19:47:33,20.8947,-156.47,84.22,72,20,21.85,few clouds
28,Ribeira Grande,PT,2021-10-03 19:51:53,38.5167,-28.7,72.0,88,40,9.22,scattered clouds
29,Omsukchan,RU,2021-10-03 19:50:12,62.5333,155.8,24.75,91,100,10.4,overcast clouds
30,Margate,GB,2021-10-03 19:53:06,51.3813,1.3862,55.11,81,0,1.99,clear sky
31,Norman Wells,CA,2021-10-03 19:50:54,65.282,-126.8329,35.64,93,90,20.71,light rain and snow
32,Rikitea,PF,2021-10-03 19:55:43,-23.1203,-134.9692,73.54,64,78,17.34,broken clouds
33,Tuktoyaktuk,CA,2021-10-03 19:50:54,69.4541,-133.0374,33.8,100,90,14.97,light intensity drizzle
34,Ketchikan,US,2021-10-03 19:59:04,55.3422,-131.6461,40.98,75,100,8.41,light rain
35,Northam,GB,2021-10-03 19:59:05,51.0333,-4.2167,57.15,86,12,14.58,few clouds
36,Hilo,US,2021-10-03 19:50:17,19.7297,-155.09,78.8,83,90,3.44,light rain
37,Luanda,AO,2021-10-03 19:54:18,-8.8368,13.2343,75.2,78,20,11.5,few clouds
38,Castro,BR,2021-10-03 19:50:44,-24.7911,-50.0119,65.32,95,100,2.98,light rain
39,Port Lincoln,AU,2021-10-03 19:48:23,-34.7333,135.8667,52.54,63,58,26.11,broken clouds
40,Albany,US,2021-10-03 19:49:10,42.6001,-73.9662,66.31,88,100,1.3,overcast clouds
41,Port Alfred,ZA,2021-10-03 19:55:24,-33.5906,26.891,56.34,74,42,6.31,light rain
42,Tarko-Sale,RU,2021-10-03 19:59:07,64.9225,77.785,26.64,87,60,7.18,broken clouds
43,Hobart,AU,2021-10-03 19:50:25,-42.8794,147.3294,54.1,94,75,1.01,broken clouds
44,Kapaa,US,2021-10-03 19:50:26,22.0752,-159.319,80.58,82,90,1.01,light rain
45,Punta Arenas,CL,2021-10-03 19:45:54,-53.15,-70.9167,44.71,70,75,32.21,broken clouds
46,Kavaratti,IN,2021-10-03 19:59:08,10.5669,72.642,81.59,79,100,10.63,overcast clouds
47,Pithoro,PK,2021-10-03 19:59:08,25.5167,69.3833,83.25,67,6,15.84,clear sky
48,Dalvik,IS,2021-10-03 19:59:09,65.9702,-18.5286,44.53,99,100,17.54,overcast clouds
49,Alice Springs,AU,2021-10-03 19:55:14,-23.7,133.8833,53.15,50,0,0.0,clear sky
50,Carnarvon,AU,2021-10-03 19:49:01,-24.8667,113.6333,62.67,77,0,12.66,clear sky
51,Torbay,CA,2021-10-03 19:51:17,47.6666,-52.7314,59.29,84,75,5.75,broken clouds
52,Ilulissat,GL,2021-10-03 19:59:10,69.2167,-51.1,26.11,72,100,2.71,overcast clouds
53,Henties Bay,NA,2021-10-03 19:59:10,-22.116,14.2845,54.86,90,0,3.74,clear sky
54,Bridlington,GB,2021-10-03 19:59:11,54.0831,-0.1919,54.9,78,0,16.93,clear sky
55,Ponta Delgada,PT,2021-10-03 19:59:11,37.7333,-25.6667,74.5,94,75,4.61,broken clouds
56,Novikovo,RU,2021-10-03 19:59:12,51.1537,37.8879,47.23,71,21,5.12,few clouds
57,Lata,PT,2021-10-03 19:59:12,40.1629,-8.3327,59.41,83,16,1.9,few clouds
58,Aktash,RU,2021-10-03 19:59:12,50.3,87.7333,13.26,70,97,4.18,overcast clouds
59,Qaanaaq,GL,2021-10-03 19:50:10,77.484,-69.3632,31.21,97,100,7.11,light snow
60,Ikungi,TZ,2021-10-03 19:59:13,-5.1333,34.7667,70.95,34,83,7.38,broken clouds
61,Salinopolis,BR,2021-10-03 19:59:13,-0.6136,-47.3561,82.98,73,96,14.45,overcast clouds
62,Aguada De Pasajeros,CU,2021-10-03 19:59:14,22.385,-80.8508,85.96,60,91,8.55,overcast clouds
63,Tasiilaq,GL,2021-10-03 19:50:30,65.6145,-37.6368,25.95,54,0,5.41,clear sky
64,Miri,MY,2021-10-03 19:59:15,4.4148,114.0089,75.34,94,20,3.44,few clouds
65,Avarua,CK,2021-10-03 19:55:13,-21.2078,-159.775,77.05,69,75,9.22,broken clouds
66,Mezhdurechenskiy,RU,2021-10-03 19:59:15,59.6,65.9333,27.77,94,38,6.35,scattered clouds
67,Chokurdakh,RU,2021-10-03 19:50:20,70.6333,147.9167,19.42,96,96,8.37,overcast clouds
68,Arada,HN,2021-10-03 19:59:16,14.85,-88.3,87.71,72,53,3.83,broken clouds
69,Arraial Do Cabo,BR,2021-10-03 19:49:43,-22.9661,-42.0278,84.16,69,0,18.41,clear sky
70,Cape Town,ZA,2021-10-03 19:53:26,-33.9258,18.4232,57.09,62,20,5.75,few clouds
71,Cabo San Lucas,MX,2021-10-03 19:50:13,22.8909,-109.9124,91.62,61,97,5.35,overcast clouds
72,Georgetown,MY,2021-10-03 19:46:21,5.4112,100.3354,81.9,88,20,0.0,few clouds
73,Souillac,MU,2021-10-03 19:59:17,-20.5167,57.5167,73.36,88,75,11.5,light rain
74,Pizarro,CO,2021-10-03 19:59:18,4.9533,-77.366,82.36,74,45,9.37,scattered clouds
75,Atuona,PF,2021-10-03 19:50:29,-9.8,-139.0333,77.59,75,14,17.6,few clouds
76,Khatanga,RU,2021-10-03 19:50:13,71.9667,102.5,17.13,95,99,10.78,overcast clouds
77,Sur,OM,2021-10-03 19:51:11,22.5667,59.5289,82.92,77,100,16.6,overcast clouds
78,East London,ZA,2021-10-03 19:49:13,-33.0153,27.9116,58.24,70,53,4.63,light rain
79,Sitka,US,2021-10-03 19:51:57,57.0531,-135.33,44.49,76,75,0.0,light rain
80,Mangan,IN,2021-10-03 19:59:19,27.5167,88.5333,71.6,89,100,3.27,overcast clouds
81,Olafsvik,IS,2021-10-03 19:51:04,64.8945,-23.7142,40.96,90,100,35.37,overcast clouds
82,Morant Bay,JM,2021-10-03 19:59:20,17.8815,-76.4093,85.62,73,42,9.31,scattered clouds
83,Mahenge,TZ,2021-10-03 19:59:20,-8.6833,36.7167,66.83,52,52,5.59,broken clouds
84,Pisco,PE,2021-10-03 19:50:40,-13.7,-76.2167,68.05,64,0,18.41,clear sky
85,Mahebourg,MU,2021-10-03 19:48:50,-20.4081,57.7,73.26,88,75,11.5,light rain
86,Namatanai,PG,2021-10-03 19:52:01,-3.6667,152.4333,79.18,79,96,5.21,overcast clouds
87,Lokhvytsya,UA,2021-10-03 19:59:22,50.3678,33.2602,46.53,58,5,7.34,clear sky
88,Azul,AR,2021-10-03 19:56:04,-36.777,-59.8585,60.35,53,39,8.66,scattered clouds
89,Qui Nhon,VN,2021-10-03 19:53:34,13.7667,109.2333,76.53,90,100,6.73,overcast clouds
90,Bend,US,2021-10-03 19:59:22,44.0582,-121.3153,76.86,25,1,1.99,clear sky
91,Bay Roberts,CA,2021-10-03 19:59:23,47.5999,-53.2648,60.06,67,28,1.99,scattered clouds
92,Kurumkan,RU,2021-10-03 19:59:23,54.3,110.3,34.29,81,100,1.97,overcast clouds
93,Namibe,AO,2021-10-03 19:48:57,-15.1961,12.1522,61.77,85,64,3.44,broken clouds
94,Wajima,JP,2021-10-03 19:53:11,37.4,136.9,70.29,69,0,7.94,clear sky
95,Xucheng,CN,2021-10-03 19:59:24,20.35,110.1288,77.7,85,20,8.88,light rain
96,Opuwo,NA,2021-10-03 19:59:24,-18.0607,13.84,69.49,24,0,8.05,clear sky
97,Guerrero,MX,2021-10-03 19:59:25,17.6667,-100.0,77.65,72,75,3.8,broken clouds
98,Tabas,IR,2021-10-03 19:59:25,33.5959,56.9244,72.73,20,0,6.24,clear sky
99,Butaritari,KI,2021-10-03 19:48:18,3.0707,172.7902,82.29,67,100,17.29,overcast clouds
100,Cherskiy,RU,2021-10-03 19:51:30,68.75,161.3,15.85,98,93,3.09,overcast clouds
101,Qaqortoq,GL,2021-10-03 19:59:26,60.7167,-46.0333,41.54,67,0,8.41,clear sky
102,Belmonte,BR,2021-10-03 19:59:27,-15.8631,-38.8828,82.4,77,7,13.31,clear sky
103,Sonoita,MX,2021-10-03 19:59:27,31.85,-112.8333,92.53,18,91,1.61,overcast clouds
104,New Norfolk,AU,2021-10-03 19:50:18,-42.7826,147.0587,53.74,82,52,1.9,broken clouds
105,Dunedin,NZ,2021-10-03 19:51:53,-45.8742,170.5036,46.83,92,100,12.93,overcast clouds
106,Oistins,BB,2021-10-03 19:59:28,13.0667,-59.5333,87.89,58,20,21.85,few clouds
107,Coihaique,CL,2021-10-03 19:51:24,-45.5752,-72.0662,52.41,54,75,6.91,light intensity shower rain
108,Capreol,CA,2021-10-03 19:59:29,46.706,-80.9225,57.54,97,90,3.0,mist
109,Kewanee,US,2021-10-03 19:59:29,41.2456,-89.9248,77.54,61,88,12.95,overcast clouds
110,Nome,US,2021-10-03 19:51:16,64.5011,-165.4064,28.47,74,1,6.91,clear sky
111,Morondava,MG,2021-10-03 19:52:57,-20.2833,44.2833,76.44,82,3,8.03,clear sky
112,Murgab,TM,2021-10-03 19:59:31,37.4966,61.9714,51.67,50,0,4.61,clear sky
113,Cuneo,IT,2021-10-03 19:59:31,44.3973,7.5445,64.4,98,100,3.44,mist
114,San Quintin,MX,2021-10-03 19:49:59,30.4833,-115.95,80.1,39,100,8.97,overcast clouds
115,Dongsheng,CN,2021-10-03 19:59:32,39.8161,109.9776,47.61,36,100,17.47,overcast clouds
116,Hermanus,ZA,2021-10-03 19:48:55,-34.4187,19.2345,53.91,67,55,7.58,broken clouds
117,Coxim,BR,2021-10-03 19:59:33,-18.5067,-54.76,100.76,24,100,13.18,overcast clouds
118,Port Hueneme,US,2021-10-03 19:59:33,34.1478,-119.1951,99.63,34,63,5.55,broken clouds
119,Hithadhoo,MV,2021-10-03 19:50:47,-0.6,73.0833,83.07,76,86,17.43,overcast clouds
120,Labuhan,ID,2021-10-03 19:59:34,-6.8844,112.2051,77.88,76,100,11.68,overcast clouds
121,Kenai,US,2021-10-03 19:50:31,60.5544,-151.2583,44.15,67,40,3.44,scattered clouds
122,Bluff,NZ,2021-10-03 19:50:44,-46.6,168.3333,44.8,83,100,23.62,light rain
123,Charlottesville,US,2021-10-03 19:58:26,38.0293,-78.4767,85.14,57,100,3.0,overcast clouds
124,Bethel,US,2021-10-03 19:49:22,41.3712,-73.414,76.46,67,1,5.75,clear sky
125,Dakar,SN,2021-10-03 19:57:07,14.6937,-17.4441,81.48,75,16,5.7,few clouds
126,Airai,TL,2021-10-03 19:50:47,-8.9266,125.4092,59.09,67,13,1.07,few clouds
127,Santa Maria Da Vitoria,BR,2021-10-03 19:59:36,-13.3947,-44.1886,97.05,17,5,6.85,clear sky
128,Mar Del Plata,AR,2021-10-03 19:55:13,-38.0023,-57.5575,55.42,53,0,18.99,clear sky
