City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Trail,CA,2021-10-03 19:50:06,49.0998,-117.7022,69.67,55,8,8.01,clear sky
1,Tete,MZ,2021-10-03 19:50:06,-16.1564,33.5867,95.14,23,20,5.01,few clouds
2,Mercedes,AR,2021-10-03 19:55:11,-34.6515,-59.4307,63.86,43,31,11.99,scattered clouds
3,Muros,ES,2021-10-03 19:55:11,42.7762,-9.0603,59.23,89,56,4.61,broken clouds
4,Lisakovsk,KZ,2021-10-03 19:55:12,52.5369,62.4936,34.32,80,38,11.54,scattered clouds
5,Avarua,CK,2021-10-03 19:55:13,-21.2078,-159.775,77.05,69,75,9.22,broken clouds
6,Mar Del Plata,AR,2021-10-03 19:55:13,-38.0023,-57.5575,55.42,53,0,18.99,clear sky
7,Alice Springs,AU,2021-10-03 19:55:14,-23.7,133.8833,53.15,50,0,0.0,clear sky
8,Cayenne,GF,2021-10-03 19:49:21,4.9333,-52.3333,89.64,72,0,3.0,clear sky
9,Qaanaaq,GL,2021-10-03 19:50:10,77.484,-69.3632,31.21,97,100,7.11,light snow
10,Surin,TH,2021-10-03 19:50:11,14.8818,103.4936,75.67,86,100,2.42,overcast clouds
11,Ponta Do Sol,PT,2021-10-03 19:48:58,32.6667,-17.1,76.01,77,100,3.29,overcast clouds
12,Omsukchan,RU,2021-10-03 19:50:12,62.5333,155.8,24.75,91,100,10.4,overcast clouds
13,Imbituba,BR,2021-10-03 19:50:12,-28.24,-48.6703,75.09,86,100,1.12,light rain
14,Butaritari,KI,2021-10-03 19:48:18,3.0707,172.7902,82.29,67,100,17.29,overcast clouds
15,Khatanga,RU,2021-10-03 19:50:13,71.9667,102.5,17.13,95,99,10.78,overcast clouds
16,Cabo San Lucas,MX,2021-10-03 19:50:13,22.8909,-109.9124,91.62,61,97,5.35,overcast clouds
17,Cockburn Town,TC,2021-10-03 19:47:54,21.4612,-71.1419,78.76,78,75,13.8,broken clouds
18,Bereda,ES,2021-10-03 19:50:14,43.2686,-7.5406,53.91,99,14,2.62,few clouds
19,Poum,NC,2021-10-03 19:50:14,-20.2333,164.0167,74.43,86,0,13.42,clear sky
20,Sirjan,IR,2021-10-03 19:50:15,29.452,55.6814,68.95,23,32,4.74,scattered clouds
21,Itarema,BR,2021-10-03 19:50:15,-2.9248,-39.9167,81.45,75,0,18.72,clear sky
22,Busselton,AU,2021-10-03 19:48:17,-33.65,115.3333,41.09,64,93,4.97,overcast clouds
23,Albany,US,2021-10-03 19:49:10,42.6001,-73.9662,66.31,88,100,1.3,overcast clouds
24,Fairbanks,US,2021-10-03 19:46:19,64.8378,-147.7164,35.6,95,90,1.01,light snow
25,Westport,US,2021-10-03 19:50:16,41.1415,-73.3579,79.05,58,1,3.0,clear sky
26,Hilo,US,2021-10-03 19:50:17,19.7297,-155.09,78.8,83,90,3.44,light rain
27,Saint George,US,2021-10-03 19:48:26,37.1041,-113.5841,88.63,19,1,1.01,clear sky
28,Fort Nelson,CA,2021-10-03 19:49:56,58.8053,-122.7002,47.79,49,75,5.75,broken clouds
29,Nanortalik,GL,2021-10-03 19:50:18,60.1432,-45.2371,39.9,77,0,5.46,clear sky
30,Pahrump,US,2021-10-03 19:50:18,36.2083,-115.9839,90.05,12,0,1.99,clear sky
31,New Norfolk,AU,2021-10-03 19:50:18,-42.7826,147.0587,53.74,82,52,1.9,broken clouds
32,Vardo,NO,2021-10-03 19:50:19,70.3705,31.1107,50.2,76,100,28.23,overcast clouds
33,Ancud,CL,2021-10-03 19:48:59,-41.8697,-73.8203,51.33,68,99,11.16,overcast clouds
34,Chokurdakh,RU,2021-10-03 19:50:20,70.6333,147.9167,19.42,96,96,8.37,overcast clouds
35,Dikson,RU,2021-10-03 19:50:20,73.5069,80.5464,34.9,98,100,23.89,light rain
36,Chapais,CA,2021-10-03 19:50:20,49.7834,-74.8492,56.98,44,5,6.13,clear sky
37,Saint-Philippe,RE,2021-10-03 19:48:31,-21.3585,55.7679,71.22,83,43,15.01,light rain
38,Svetlogorsk,BY,2021-10-03 19:50:21,52.6333,29.7333,46.85,73,100,7.49,overcast clouds
39,Kodiak,US,2021-10-03 19:47:26,57.79,-152.4072,42.31,52,1,14.97,clear sky
40,Saskylakh,RU,2021-10-03 19:48:30,71.9167,114.0833,17.13,92,99,11.14,overcast clouds
41,Cidreira,BR,2021-10-03 19:50:22,-30.1811,-50.2056,66.88,88,100,7.52,light rain
42,Mackenzie,CA,2021-10-03 19:50:22,55.2999,-123.1698,43.02,42,90,10.36,overcast clouds
43,Punta Arenas,CL,2021-10-03 19:45:54,-53.15,-70.9167,44.71,70,75,32.21,broken clouds
44,Sorland,NO,2021-10-03 19:50:23,67.667,12.6934,53.67,80,100,20.92,light rain
45,Bukama,CD,2021-10-03 19:50:23,-9.2,25.85,71.46,89,100,3.29,moderate rain
46,Fredonia,US,2021-10-03 19:50:24,42.4401,-79.3317,69.75,95,90,3.44,mist
47,Vaini,TO,2021-10-03 19:50:24,-21.2,-175.2,75.36,88,90,8.05,overcast clouds
48,Ushuaia,AR,2021-10-03 19:46:59,-54.8,-68.3,46.06,76,75,27.63,moderate rain
49,Hobart,AU,2021-10-03 19:50:25,-42.8794,147.3294,54.1,94,75,1.01,broken clouds
50,Jining,CN,2021-10-03 19:50:25,35.405,116.5814,70.57,97,100,4.65,overcast clouds
51,Kapaa,US,2021-10-03 19:50:26,22.0752,-159.319,80.58,82,90,1.01,light rain
52,Batagay-Alyta,RU,2021-10-03 19:49:33,67.8006,130.4114,15.62,91,31,1.59,scattered clouds
53,Saint-Leu,RE,2021-10-03 19:50:26,-21.15,55.2833,70.68,75,0,3.53,clear sky
54,Bethel,US,2021-10-03 19:49:22,41.3712,-73.414,76.46,67,1,5.75,clear sky
55,Port Alfred,ZA,2021-10-03 19:55:24,-33.5906,26.891,56.34,74,42,6.31,light rain
56,Pilar,BR,2021-10-03 19:50:27,-9.5972,-35.9567,84.13,78,17,8.99,few clouds
57,Palmer,US,2021-10-03 19:50:28,42.1584,-72.3287,74.32,69,90,3.44,overcast clouds
58,Sisimiut,GL,2021-10-03 19:50:28,66.9395,-53.6735,36.14,74,17,4.59,few clouds
59,Stornoway,GB,2021-10-03 19:50:29,58.2093,-6.3865,53.92,87,20,11.5,few clouds
60,Atuona,PF,2021-10-03 19:50:29,-9.8,-139.0333,77.59,75,14,17.6,few clouds
61,Jamestown,US,2021-10-03 19:47:34,42.097,-79.2353,70.09,71,90,4.0,mist
62,Tasiilaq,GL,2021-10-03 19:50:30,65.6145,-37.6368,25.95,54,0,5.41,clear sky
63,Pevek,RU,2021-10-03 19:49:22,69.7008,170.3133,23.7,91,99,7.43,overcast clouds
64,Luderitz,NA,2021-10-03 19:49:45,-26.6481,15.1594,59.72,51,89,23.78,overcast clouds
65,Barrow,US,2021-10-03 19:50:31,71.2906,-156.7887,30.22,80,90,12.66,haze
66,College,US,2021-10-03 19:50:32,64.8569,-147.8028,35.58,95,75,4.61,light snow
67,Puerto Ayora,EC,2021-10-03 19:50:33,-0.7393,-90.3518,72.46,77,31,11.03,scattered clouds
68,Quatre Cocos,MU,2021-10-03 19:50:33,-20.2078,57.7625,73.09,80,40,16.17,scattered clouds
69,Port Blair,IN,2021-10-03 19:50:26,11.6667,92.75,80.35,81,19,6.62,moderate rain
70,Klaksvik,FO,2021-10-03 19:50:05,62.2266,-6.589,47.32,94,100,29.44,overcast clouds
71,Lapua,FI,2021-10-03 19:50:34,62.9693,23.0088,53.47,79,100,14.72,overcast clouds
72,Meridian,US,2021-10-03 19:50:19,43.6121,-116.3915,80.17,25,1,1.99,clear sky
73,Kahului,US,2021-10-03 19:47:33,20.8947,-156.47,84.22,72,20,21.85,few clouds
74,Mataura,NZ,2021-10-03 19:50:35,-46.1927,168.8643,44.47,88,100,7.72,overcast clouds
75,Bathsheba,BB,2021-10-03 19:50:36,13.2167,-59.5167,88.41,58,20,21.85,few clouds
76,Bredasdorp,ZA,2021-10-03 19:46:04,-34.5322,20.0403,49.32,87,39,3.44,scattered clouds
77,Padang,ID,2021-10-03 19:50:36,-0.9492,100.3543,77.04,87,94,2.66,overcast clouds
78,Fort Wellington,GY,2021-10-03 19:50:37,6.4,-57.6,83.44,70,100,10.04,overcast clouds
79,Karatau,KZ,2021-10-03 19:50:37,43.1667,70.4667,42.94,46,1,4.5,clear sky
80,Sao Filipe,CV,2021-10-03 19:48:49,14.8961,-24.4956,80.38,76,99,6.82,overcast clouds
81,Thompson,CA,2021-10-03 19:50:39,55.7435,-97.8558,64.56,45,75,8.05,broken clouds
82,Matamoros,MX,2021-10-03 19:46:16,25.5333,-103.25,78.91,50,90,4.61,overcast clouds
83,Sitka,US,2021-10-03 19:51:57,57.0531,-135.33,44.49,76,75,0.0,light rain
84,Gorzow Wielkopolski,PL,2021-10-03 19:50:40,52.7368,15.2288,65.21,63,100,6.26,overcast clouds
85,Mahebourg,MU,2021-10-03 19:48:50,-20.4081,57.7,73.26,88,75,11.5,light rain
86,Vostok,RU,2021-10-03 19:50:41,46.4856,135.8833,44.22,97,100,3.65,overcast clouds
87,Altay,CN,2021-10-03 19:50:41,47.8667,88.1167,32.47,43,91,5.21,overcast clouds
88,Farah,AF,2021-10-03 19:50:42,32.5,62.5,59.54,26,0,4.85,clear sky
89,Pingtung,TW,2021-10-03 19:50:42,22.6714,120.4881,82.81,87,75,4.61,broken clouds
90,Carnarvon,AU,2021-10-03 19:49:01,-24.8667,113.6333,62.67,77,0,12.66,clear sky
